Ecosystem	Package	Version	Scope	License	License files	Source
cargo	rand_core	0.6.4	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-random/rand
cargo	regex	1.13.1	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/regex
cargo	regex-automata	0.4.18	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/regex
cargo	regex-syntax	0.8.11	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/regex
cargo	ring	0.17.14	cargo-lock	Apache-2.0 AND ISC		https://github.com/briansmith/ring
cargo	rustix	1.1.4	cargo-lock	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/rustix
cargo	rustls	0.23.43	cargo-lock	Apache-2.0 OR ISC OR MIT		https://github.com/rustls/rustls
cargo	rustls-native-certs	0.8.4	cargo-lock	Apache-2.0 OR ISC OR MIT		https://github.com/rustls/rustls-native-certs
cargo	rustls-pemfile	2.2.0	cargo-lock	Apache-2.0 OR ISC OR MIT		https://github.com/rustls/pemfile
cargo	rustls-pki-types	1.15.1	cargo-lock	MIT OR Apache-2.0		https://github.com/rustls/pki-types
cargo	rustls-webpki	0.103.14	cargo-lock	ISC		https://github.com/rustls/webpki
cargo	rustversion	1.0.23	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/rustversion
cargo	schannel	0.1.29	cargo-lock	MIT		https://github.com/steffengy/schannel-rs
cargo	security-framework	3.7.0	cargo-lock	MIT OR Apache-2.0		https://github.com/kornelski/rust-security-framework
cargo	security-framework-sys	2.17.0	cargo-lock	MIT OR Apache-2.0		https://github.com/kornelski/rust-security-framework
cargo	serde	1.0.229	cargo-lock	MIT OR Apache-2.0		https://github.com/serde-rs/serde
cargo	serde_core	1.0.229	cargo-lock	MIT OR Apache-2.0		https://github.com/serde-rs/serde
cargo	serde_derive	1.0.229	cargo-lock	MIT OR Apache-2.0		https://github.com/serde-rs/serde
cargo	shlex	2.0.1	cargo-lock	MIT OR Apache-2.0		https://github.com/comex/rust-shlex
cargo	slab	0.4.12	cargo-lock	MIT		https://github.com/tokio-rs/slab
cargo	smallvec	1.15.2	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/rust-smallvec
cargo	socket2	0.5.10	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/socket2
cargo	socket2	0.6.5	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/socket2
cargo	subtle	2.6.1	cargo-lock	BSD-3-Clause		https://github.com/dalek-cryptography/subtle
cargo	syn	2.0.119	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/syn
cargo	syn	3.0.3	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/syn
cargo	sync_wrapper	1.0.2	cargo-lock	Apache-2.0		https://github.com/Actyx/sync_wrapper
cargo	tempfile	3.27.0	cargo-lock	MIT OR Apache-2.0		https://github.com/Stebalien/tempfile
cargo	thiserror	1.0.69	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/thiserror
cargo	thiserror-impl	1.0.69	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/thiserror
cargo	time	0.3.55	cargo-lock	MIT OR Apache-2.0		https://github.com/time-rs/time
cargo	time-core	0.1.9	cargo-lock	MIT OR Apache-2.0		https://github.com/time-rs/time
cargo	time-macros	0.2.32	cargo-lock	MIT OR Apache-2.0		https://github.com/time-rs/time
cargo	tokio	1.53.1	cargo-lock	MIT		https://github.com/tokio-rs/tokio
cargo	tokio-macros	2.7.2	cargo-lock	MIT		https://github.com/tokio-rs/tokio
cargo	tokio-rustls	0.26.4	cargo-lock	MIT OR Apache-2.0		https://github.com/rustls/tokio-rustls
cargo	tokio-stream	0.1.19	cargo-lock	MIT		https://github.com/tokio-rs/tokio
cargo	tokio-util	0.7.19	cargo-lock	MIT		https://github.com/tokio-rs/tokio
cargo	tonic	0.12.3	cargo-lock	MIT		https://github.com/hyperium/tonic
cargo	tonic-build	0.12.3	cargo-lock	MIT		https://github.com/hyperium/tonic
cargo	tower	0.4.13	cargo-lock	MIT		https://github.com/tower-rs/tower
cargo	tower	0.5.3	cargo-lock	MIT		https://github.com/tower-rs/tower
cargo	tower-layer	0.3.3	cargo-lock	MIT		https://github.com/tower-rs/tower
cargo	tower-service	0.3.3	cargo-lock	MIT		https://github.com/tower-rs/tower
cargo	tracing	0.1.44	cargo-lock	MIT		https://github.com/tokio-rs/tracing
cargo	tracing-attributes	0.1.31	cargo-lock	MIT		https://github.com/tokio-rs/tracing
cargo	tracing-core	0.1.36	cargo-lock	MIT		https://github.com/tokio-rs/tracing
cargo	try-lock	0.2.5	cargo-lock	MIT		https://github.com/seanmonstar/try-lock
cargo	unicode-ident	1.0.24	cargo-lock	(MIT OR Apache-2.0) AND Unicode-3.0		https://github.com/dtolnay/unicode-ident
cargo	untrusted	0.9.0	cargo-lock	ISC		https://github.com/briansmith/untrusted
cargo	uuid	1.24.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/uuid-rs/uuid
cargo	want	0.3.1	cargo-lock	MIT		https://github.com/seanmonstar/want
cargo	wasi	0.11.1+wasi-snapshot-preview1	cargo-lock	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/bytecodealliance/wasi
cargo	wasm-bindgen	0.2.127	cargo-lock	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen
cargo	wasm-bindgen-macro	0.2.127	cargo-lock	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro
cargo	wasm-bindgen-macro-support	0.2.127	cargo-lock	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro-support
cargo	wasm-bindgen-shared	0.2.127	cargo-lock	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/shared
cargo	windows-link	0.2.1	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows-sys	0.52.0	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows-sys	0.61.2	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows-targets	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_aarch64_gnullvm	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_aarch64_msvc	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_i686_gnu	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_i686_gnullvm	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_i686_msvc	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_x86_64_gnu	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_x86_64_gnullvm	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	windows_x86_64_msvc	0.52.6	cargo-lock	MIT OR Apache-2.0		https://github.com/microsoft/windows-rs
cargo	zerocopy	0.8.56	cargo-lock	BSD-2-Clause OR Apache-2.0 OR MIT		https://github.com/google/zerocopy
cargo	zerocopy-derive	0.8.56	cargo-lock	BSD-2-Clause OR Apache-2.0 OR MIT		https://github.com/google/zerocopy
cargo	zeroize	1.9.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/RustCrypto/utils
